outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
Composição;composicao;"Domínio aplicado dos princípios projetuais e dos sistemas de proporção na arquitetura tradicional";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
Construção;construcao;"Domínio aplicado da concepção construtiva tradicional e dos componentes construtivos naturais";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
"Leitura e discussão de bibliografia";leitura;"Capacidade de interpretar e discutir um texto acadêmico, fazendo perguntas ou levantando problemas pertinentes";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
"Pesquisa e crítica";pesquisa;"Capacidade de levantar e organizar material bibliográfico e de refletir criticamente sobre ele";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
"Organização e produção de conteúdo";producao;"Clareza e pertinência do argumento principal e da apresentação de referências bibliográficas ou projetuais";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
"Redação e apresentação de texto";redacao;"Domínio aplicado das convenções de redação acadêmica, citação de referências e paginação";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
"Representação gráfica ou modelagem";representacao;"Domínio aplicado das convenções de projeção geométrica e de desenho arquitetônico ou maquete";Proficiência;"Não domina Domínio precário Domínio parcial Domínio adequado Domínio com desenvoltura";"Avalia a proficiência na habilidade demandada"
